NUM,Project,Year,Tran_Num,UseCase_Num,KSLOC,SLOC,Personnel,Type,Priori_COCOMO_Estimate,COCOMO_Estimate,Activity_Num,Actor_Num,Avg_Actor,Boundary_Num,ControlNum,Entity_Num,Component_num,Attribute_num,Operation_num,class_num,Top_Level_Classes,Average_Depth_Inheritance_Tree,Average_Number_Of_Children_Per_Base_Class,Number_Of_Inheritance_Relationships,Depth_Inheritance_Tree,para_num,usage_num,real_num,assoc_num,externaloper_num,objectdata_num,avg_operation,avg_attribute,avg_parameter,avg_usage,avg_real,avg_assoc,avg_instVar,weightedoper_num,method_size,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD,Arch_Diff,Type,Effort,UAW,TCF,EF,Simple_UC, Average_UC, Complex_UC, UUCP, UCP,EUCP,EXUCP,DUCP,SWTI,SWTII,SWTIII,NOET,NOAAE,NORT,NEM,NSR,NOA,NOS,WMC,MPC,NOCH,DIT,CBO,NIVPC,NUMS,NCI,NCIF,RR,NTLC,ANWMC,ADIT,NOCPBC,EIF,ILF,IFPUG,NI,NE,MKII,EXT,ERY,RED,WRT,COSMIC,DET,FTR,NT,NOC,NOA,NOA,NOUC,NOR,ANAPUC,ANRPUC,UCP,NOC,NOIR,NOUR,NORR,NOM,NOP,NOCAL,NOASSOC,ANMC,ANPC,ANCAC,ANASSOCC,ANRELC,NOC,NOAPC,NODET,NORET,NOA,NOMPC,NPPM,NMT,Num_User_Story, Num_Tasks, project_manager_estimate, developer_estimate,transaction_file
1,s16b_combat_conflict,2016,35,14,3.48,3.48,8,Website,1626.4,1626.4,76,0,0,43,28,11,57,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,0,9,25,10,12.2,4.078998779,49.7637851,Unknown,169.2,0,1,1,4,0,3,65,65,90,86,73,90,86,73,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,199,35,35,80.48,35,35,35,35,140,0,0,3,11,0,0,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,..\..\577 Projects\12-22\s16b_combat_conflict_2018-11-22@1545551707459_analysis\filteredTransactionEvaluation.csv
2,S16b_flower_seeker,2016,84,32,7.365,7.365,6,Website,1325.44,1656.8,186,0,0,55,126,51,135,208,75,51,51,0,0,0,0,163,0,0,0,75,25,1.470588235,4.078431373,3.196078431,0,0,0,4.078431373,4.8,0,3,0,18,3,47,0,21,37,47,5.85106383,3.069380778,17.95914285,Unknown,304.5,0,1,1,1,10,5,180,180,205,197,192,205,197,192,0,208,0,75,75,0,16,4.8,1.470588235,0,0,0,4.078431373,0,0,0,0,51,0.094117647,0,0,0,0,683,84,84,201.42,84,84,84,84,336,0,0,5,51,0,0,16,0,0,0,0,51,0,0,0,75,163,208,0,1.470588235,3.196078431,4.078431373,0,0,51,4.078431373,0,0,0,0,3.196078431,75,0,0,0,0,..\..\577 Projects\12-22\S16b_flower_seeker_2018-11-22@1545551707459_analysis\filteredTransactionEvaluation.csv
3,s16b_Picshare_AA,2016,94,48,8.209,8.209,6,Website,1088.32,1360.4,221,0,0,76,178,15,168,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,2,38,0,15,56,38,9.394736842,3.899690481,36.63656583,Unknown,592,0,1,1,13,8,3,190,190,345,339,282,345,339,282,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,467,94,94,213.42,94,94,94,94,376,0,0,1,15,0,0,24,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,..\..\577 Projects\12-22\s16b_Picshare_AA_2018-11-22@1545551707459_analysis\filteredTransactionEvaluation.csv
4,s16b_Picshare_RA,2016,387,48,8.059,8.059,6,Website,280,9283,555,0,0,291,206,18,397,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,78,0,53,309,78,16.14102564,7.053280641,113.8471837,Unknown,3113,0,1,1,1,0,23,350,350,375,409,400,375,409,400,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1871,387,387,871.04,387,387,387,387,1548,0,0,8,18,0,0,24,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,..\..\577 Projects\12-22\s16b_Picshare_RA_2018-11-22@1545551707459_analysis\filteredTransactionEvaluation.csv
5,Improvementon_on_VITA_website,2017,29,18,1.53,1.53,9,Website,2311,938,79,0,0,33,56,10,61,43,0,10,10,0,0,0,0,0,0,0,0,0,6,0,4.3,0,0,0,0,4.3,0,0,0,0,11,0,13,0,11,16,13,10.76923077,3.068681319,33.04733728,Unknown,1336,0,1,1,8,1,0,50,50,135,135,138,135,135,138,0,43,0,0,0,0,9,0,0,0,0,0,4.3,0,0,0,0,10,0,0,0,0,0,178,29,29,67.3,29,29,29,29,116,0,0,3,10,0,0,9,0,0,0,0,10,0,0,0,0,0,43,0,0,0,4.3,0,0,10,4.3,0,0,0,0,0,0,0,0,0,0,..\..\577 Projects\12-22\Improvementon_on_VITA_website_2018-11-22@1545546245121_analysis\filteredTransactionEvaluation.csv
6,Improving_Thai_CDC,2017,163,44,1.94,1.94,7,Website,2235,487,364,0,0,134,270,14,275,32,0,14,14,0,0,0,0,0,0,0,0,0,7,0,2.285714286,0,0,0,0,2.285714286,0,0,0,0,46,0,58,0,46,105,58,14.39655172,4.427145381,63.73562747,Unknown,363,0,1,1,6,5,11,245,245,375,373,400,375,373,400,0,32,0,0,0,0,22,0,0,0,0,0,2.285714286,0,0,0,0,14,0,0,0,0,0,709,163,163,368.24,163,163,163,163,652,0,0,3,14,0,0,22,0,0,0,0,14,0,0,0,0,0,32,0,0,0,2.285714286,0,0,14,2.285714286,0,0,0,0,0,0,0,0,0,0,..\..\577 Projects\12-22\Improving_Thai_CDC_2018-11-22@1545546245119_analysis\filteredTransactionEvaluation.csv
7,Istartonmonday_com,2017,121,48,2.84,2.84,8,Website,212,592,290,0,0,193,18,17,215,37,0,17,17,0,0,0,0,0,0,0,0,0,10,0,2.176470588,0,0,0,0,2.176470588,0,0,0,0,25,0,25,0,25,96,25,22.68,3.724807119,84.47862545,Unknown,524,0,1,1,7,6,11,260,260,335,332,352,335,332,352,0,37,0,0,0,0,24,0,0,0,0,0,2.176470588,0,0,0,0,17,0,0,0,0,0,571,121,121,275.2,121,121,121,121,484,0,0,3,17,0,0,24,0,0,0,0,17,0,0,0,0,0,37,0,0,0,2.176470588,0,0,17,2.176470588,0,0,0,0,0,0,0,0,0,0,..\..\577 Projects\12-22\Istartonmonday_com_2018-11-22@1545546245120_analysis\filteredTransactionEvaluation.csv
8,Leamos_TM,2017,58,32,2.91,2.91,6,Mobile App,983,1823,171,0,0,38,152,16,130,41,0,16,16,0,0,0,0,0,0,1,0,0,9,0,2.5625,0,0,0.0625,0,2.5625,0,0,0,0,28,0,50,0,28,8,50,5.46,3.56775359,19.4799346,Unknown,948,0,1,1,6,10,0,130,130,220,213,227,220,213,227,0,41,1,0,0,0,16,0,0,0,0,0,2.5625,0,0,0,0,16,0,0,0,0,0,351,57,57,131.32,57,57,57,57,228,0,0,4,16,0,0,16,0,0,0,0,16,0,0,1,0,0,41,0,0,0,2.5625,0,0,16,2.5625,0,0,0,0,0,0,0,0,0,0,..\..\577 Projects\12-22\Leamos_TM_2018-11-22@1545546245120_analysis\filteredTransactionEvaluation.csv
9,LEMA_FAMILY_ACCOUNTABILITY_SYSTEM,2017,133,40,3.28,3.28,4,Information System,2918,223,238,0,0,15,252,32,168,103,19,32,32,0,0,0,0,19,3,5,0,19,14,0.59375,3.21875,0.59375,0.09375,0.15625,0,3.21875,2.4,0,0,0,0,0,106,0,0,27,106,5.226415094,7.512899137,39.26552945,Unknown,793,0,1,1,10,3,7,185,185,235,238,247,235,238,247,0,103,8,19,19,0,20,2.4,0.59375,0,0,0,3.21875,0,0,0,3,32,0.075,0,0,0,0,706,132,132,304,132,132,132,132,528,0,0,4,32,0,0,20,0,0,0,0,32,0,3,5,19,19,103,0,0.59375,0.59375,3.21875,0,0,32,3.21875,0,0,0,0,0.59375,19,0,0,0,0,..\..\577 Projects\12-22\LEMA_FAMILY_ACCOUNTABILITY_SYSTEM_2018-11-22@1545546245121_analysis\filteredTransactionEvaluation.csv
10,LEMA_Pilot_School_Integrated_Scheduling_System,2017,75,38,3.23,3.23,5,Information System,1283,1832,191,0,0,43,166,30,141,99,0,30,30,0,0,0,0,0,0,0,0,0,26,0,3.3,0,0,0,0,3.3,0,0,0,0,12,0,39,0,12,36,39,8.384615385,3.128488707,26.23117455,Unknown,349.81,0,1,1,9,7,3,160,160,240,231,230,240,231,230,0,99,0,0,0,0,19,0,0,0,0,0,3.3,0,0,0,0,30,0,0,0,0,0,471,75,75,175.54,75,75,75,75,300,0,0,2,30,0,0,19,0,0,0,0,30,0,0,0,0,0,99,0,0,0,3.3,0,0,30,3.3,0,0,0,0,0,0,0,0,0,0,..\..\577 Projects\12-22\LEMA_Pilot_School_Integrated_Scheduling_System_2018-11-22@1545546245121_analysis\filteredTransactionEvaluation.csv
11,Los_Angeles_Child_Guidance_Clinic_Employment_Opportunities_Online_Application_System,2017,118,42,1.22,1.22,5,Information System,842,293,249,0,0,83,184,42,191,96,14,42,42,0,0,0,0,14,0,1,0,14,15,0.333333333,2.285714286,0.333333333,0,0.023809524,0,2.285714286,3.3,0,0,0,41,0,62,0,41,56,62,9.080645161,3.330598482,30.24398299,Unknown,595.6,0,1,1,6,5,10,230,230,260,246,257,260,246,257,0,96,1,14,14,0,21,3.3,0.333333333,0,0,0,2.285714286,0,0,0,0,42,0.078571429,0,0,0,0,743,117,117,272.74,117,117,117,117,468,0,0,0,42,0,0,21,0,0,0,0,42,0,0,1,14,14,96,0,0.333333333,0.333333333,2.285714286,0,0,42,2.285714286,0,0,0,0,0.333333333,14,0,0,0,0,..\..\577 Projects\12-22\Los_Angeles_Child_Guidance_Clinic_Employment_Opportunities_Online_Application_System_2018-11-22@1545546245121_analysis\filteredTransactionEvaluation.csv
12,Pediatric_Trauma_Society_Research_Investigator_Databank _PTS_RID,2017,43,32,1.32,1.32,5,Information System,828,1832,114,0,0,50,68,44,85,48,0,44,44,0,0,0,0,0,0,4,0,0,10,0,1.090909091,0,0,0.090909091,0,1.090909091,0,0,0,0,12,0,17,0,12,26,17,10.82352941,2.076470588,22.47474048,Unknown,99.8,0,1,1,16,0,0,80,80,200,182,173,200,182,173,0,48,4,0,0,0,16,0,0,0,0,0,1.090909091,0,0,0,0,44,0,0,0,0,0,518,42,42,105,42,42,42,42,168,0,0,0,44,0,0,16,0,0,0,0,44,0,0,4,0,0,48,0,0,0,1.090909091,0,0,44,1.090909091,0,0,0,0,0,0,0,0,0,0,..\..\577 Projects\12-22\Pediatric_Trauma_Society_Research_Investigator_Databank _PTS_RID_2018-11-22@1545546245122_analysis\filteredTransactionEvaluation.csv
13,Amer_I_Can_Re_Up,2018,100,40,1.32,1.32,7,Website,1322,928,213,0,0,77,134,20,166,55,0,20,20,0,0,0,0,0,0,0,0,0,15,0,2.75,0,0,0,0,2.75,0,0,0,0,33,0,58,0,33,42,58,8.068965517,4.735732476,38.21246205,Unknown,716,0,1,1,6,9,5,195,195,250,247,232,250,247,232,0,55,0,0,0,0,20,0,0,0,0,0,2.75,0,0,0,0,20,0,0,0,0,0,511,99,99,226.7,99,99,99,99,396,0,0,4,20,0,0,20,0,0,0,0,20,0,0,0,0,0,55,0,0,0,2.75,0,0,20,2.75,0,0,0,0,0,0,0,0,0,0,..\..\577 Projects\12-22\Amer_I_Can_Re_Up_2018-11-22@1545546245115_analysis\filteredTransactionEvaluation.csv
14,Art_Crafts_Website,2018,34,18,2.32,2.32,8,Website,122,2332,79,0,0,46,18,9,61,10,0,9,9,0,0,0,0,0,0,0,0,0,5,0,1.111111111,0,0,0,0,1.111111111,0,0,0,0,11,0,15,0,11,19,15,9.666666667,4.153846154,40.15384615,Unknown,137,0,1,1,2,7,0,80,80,110,108,100,110,108,100,0,10,0,0,0,0,9,0,0,0,0,0,1.111111111,0,0,0,0,9,0,0,0,0,0,191,34,34,78.5,34,34,34,34,136,0,0,3,9,0,0,9,0,0,0,0,9,0,0,0,0,0,10,0,0,0,1.111111111,0,0,9,1.111111111,0,0,0,0,0,0,0,0,0,0,..\..\577 Projects\12-22\Art_Crafts_Website_2018-11-22@1545546245121_analysis\filteredTransactionEvaluation.csv
15,Web_based_product_configurator_and_data_service_system,2018,44,30,3.92,3.92,6,Information System,1823,982,117,0,0,55,62,9,89,25,0,9,9,0,0,0,0,0,0,0,0,0,5,0,2.777777778,0,0,0,0,2.777777778,0,0,0,0,16,0,18,0,16,26,18,10.94444444,2.734294872,29.92533832,Unknown,73,0,1,1,13,2,0,85,85,175,171,171,175,171,171,0,25,0,0,0,0,15,0,0,0,0,0,2.777777778,0,0,0,0,9,0,0,0,0,0,228,44,44,100.9,44,44,44,44,176,0,0,3,9,0,0,15,0,0,0,0,9,0,0,0,0,0,25,0,0,0,2.777777778,0,0,9,2.777777778,0,0,0,0,0,0,0,0,0,0,..\..\577 Projects\12-22\Web_based_product_configurator_and_data_service_system_2018-11-22@1545546245122_analysis\filteredTransactionEvaluation.csv
16,Web_Media_Modernization_2012,2018,28,22,2.11,2.11,7,Website,928,827,74,0,0,10,88,15,55,24,0,15,15,0,0,0,0,0,3,0,0,0,10,0,1.6,0,0.2,0,0,1.6,0,0,0,0,0,0,20,0,0,8,20,5.95,3.82,22.729,Unknown,90,0,1,1,11,0,0,55,55,130,124,114,130,124,114,0,24,3,0,0,0,11,0,0,0,0,0,1.6,0,0,0,3,15,0,0,0,0,0,196,27,27,63.86,27,27,27,27,108,0,0,0,15,0,0,11,0,0,0,0,15,0,3,0,0,0,24,0,0,0,1.6,0,0,15,1.6,0,0,0,0,0,0,0,0,0,0,..\..\577 Projects\12-22\Web_Media_Modernization_2012_2018-11-22@1545546245122_analysis\filteredTransactionEvaluation.csv
17,XL_2,2018,32,16,1.38,1.38,9,Tool,834,1123,79,0,0,27,52,13,61,15,11,13,13,0,0,0,0,0,0,1,0,11,6,0.846153846,1.153846154,0,0,0.076923077,0,1.153846154,0.9,0,0,0,0,0,6,0,0,26,6,13.66666667,4.216374269,57.62378168,Unknown,99,0,1,1,1,6,1,80,80,145,142,153,145,142,153,0,15,1,11,11,0,8,0.9,0.846153846,0,0,0,1.153846154,0,0,0,0,13,0.069230769,0,0,0,0,213,32,32,74.54,32,32,32,32,128,0,0,4,13,0,0,8,0,0,0,0,13,0,0,1,11,0,15,0,0.846153846,0,1.153846154,0,0,13,1.153846154,0,0,0,0,0,11,0,0,0,0,..\..\577 Projects\12-22\XL_2_2018-11-22@1545546245122_analysis\filteredTransactionEvaluation.csv
