1,SWTIII,IFPUG,MMRE,0.88,1.55,0.02,1.41
2,SWTII,IFPUG,MMRE,0.89,1.55,0.02,1.42
3,SWTI,IFPUG,MMRE,0.88,1.55,0.02,1.45
4,SWTIII,IFPUG,MAE,2314.42,2741.77,0.02,1.41
5,SWTII,IFPUG,MAE,2446.44,2741.77,0.02,1.42
6,SWTI,IFPUG,MAE,2494.4,2741.77,0.02,1.45
7,SWTIII,UCP,MMRE,0.88,2.59,0.03,2.06
8,SWTII,UCP,MMRE,0.89,2.59,0.03,2.06
9,SWTIII,IFPUG,MDMRE,0.68,1.09,0.03,1.16
10,SWTIII,UCP,MAE,2314.42,3712.93,0.03,2.06
11,SWTII,UCP,MAE,2446.4,3712.93,0.03,2.06
12,SWTIII,COSMIC,MMRE,0.88,1.44,0.04,1.2
13,SWTII,COSMIC,MMRE,0.89,1.44,0.04,1.2
14,SWTI,UCP,MMRE,0.88,2.59,0.04,2.08
15,SWTIII,SWTI,MDMRE,0.68,0.79,0.04,0.89
16,SWTI,IFPUG,MDMRE,0.79,1.09,0.04,0.85
17,SWTIII,COSMIC,MAE,2314.42,2817.21,0.04,1.2
18,SWTII,COSMIC,MAE,2446.4,2817.21,0.04,1.2
19,SWTI,UCP,MAE,2494.4,3712.93,0.04,2.08